example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick3-0001,finance,What documents do I need to verify an NSSF account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0002,finance,What fees apply when withdrawing international wire transfers?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0003,finance,How does the CBK's digital credit rules affect mobile lenders?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0004,finance,How do I borrow against offshore equities using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0005,finance,Explain the charges for trade finance facilities on the stock exchange.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0006,finance,How long does an EFT payment take to reflect in my current account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0007,finance,How does yield curve inversion affect my cooperative account during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0008,finance,How do I reconcile balances for commercial paper using an agent portal?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0009,finance,Explain the charges for custodial services on a Sacco portal.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0010,finance,How long does an EFT payment take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0011,finance,How long does an RTGS transfer take to reflect in my savings account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0012,finance,Is it possible to liquidate shares under business name without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0013,finance,How long does a standing order take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0014,finance,How do I invest in treasury bills through my phone?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0015,finance,Is it possible to issue commercial paper with a guarantor without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0016,finance,How do I collateralize an escrow account using a bank app?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0017,finance,How do I withdraw cash from a mobile wallet using Airtel Money?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0018,finance,What is the impact of cross-border withholding tax treaties on corporate weighted average cost of capital (WACC) tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0019,finance,What documents do I need to link a tax pin profile?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0020,finance,How long does a cheque clearance take to reflect in my dollar account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0021,finance,How does inflation pressure affect my M-Pesa wallet during fiscal quarters?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0022,finance,How does yield curve inversion affect my savings account during harvest seasons?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0023,finance,How is the MACRS depreciation tax shield calculated for capital asset purchases?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0024,finance,Explain the charges for salary advances on an insurance app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0025,finance,How do I send money to a bank card using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0026,finance,Explain the charges for mobile banking on the stock exchange.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0027,finance,What fees apply when overdrawing a B2C payment?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0028,finance,How does repo rate adjustment affect my current account during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0029,finance,How does withholding tax affect my dollar account during the financial year-end?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0030,finance,What fees apply when depositing international wire transfers?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0031,finance,How long does a cheque clearance take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0032,finance,How long does a PesaLink transfer take to reflect in my savings account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0033,finance,What steps should I follow to invest in commercial paper safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0034,finance,What fees apply when reversing international wire transfers?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0035,finance,What documents do I need to consolidate an escrow account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0036,finance,How long does a dividend payout take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0037,finance,How does yield curve inversion affect my dollar account during harvest seasons?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0038,finance,What steps should I follow to transfer ownership of corporate Eurobonds safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0039,finance,Is it possible to buy treasury bills under business name without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0040,finance,Explain the charges for custodial services on an agency bank.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0041,finance,What is the penalty for early loan repayment at a Kenyan bank?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0042,finance,How long does an RTGS transfer take to reflect in my CDS investment account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0043,finance,What documents do I need to link an escrow account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0044,finance,How is the R&D expenditure tax shield calculated for real estate investment trusts?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0045,finance,How does inflation pressure affect my CDS investment account during fiscal quarters?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0046,finance,What documents do I need to close a HELB account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0047,finance,"What fees apply when withdrawing KES 5,000?",False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0048,finance,How long does an RTGS transfer take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0049,finance,What documents do I need to consolidate a mobile money line?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0050,finance,How do I pay for goods with an escrow account using the NSE app?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0051,finance,Explain the charges for international transfers on a Sacco portal.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0052,finance,How long does a bank-to-wallet payment take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0053,finance,What fees apply when splitting international wire transfers?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0054,finance,How long does an RTGS transfer take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0055,finance,How long does an EFT payment take to reflect in my CDS investment account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0056,finance,How does withholding tax affect my money market account during the financial year-end?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0057,finance,How do I hedge risk on a bank card using SWIFT transfer?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0058,finance,How long does a dividend payout take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0059,finance,What is the impact of corporate income tax rate hikes on corporate weighted average cost of capital (WACC) tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0060,finance,What fees apply when splitting a B2C payment?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0061,finance,Is it possible to buy treasury bills as a foreigner without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0062,finance,How do I set up a USD domiciliary bank account in Nairobi?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0063,finance,How is the R&D expenditure tax shield calculated for capital asset purchases?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0064,finance,Is it possible to issue commercial paper from abroad without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0065,finance,Should I take a fixed deposit or a money market fund for six months?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0066,finance,What documents do I need to audit an NSSF account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0067,finance,How do asset financing loans work for purchasing commercial vehicles?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0068,finance,How do I reconcile balances for an insurance policy using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0069,finance,What is the impact of accelerated cost recovery legislation on corporate free cash flow to firm tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0070,finance,Is it possible to open an account without collateral without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0071,finance,How do I pay for goods with a unit trust fund using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0072,finance,What documents do I need to register a mobile money line?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0073,finance,How do I send money to offshore equities using an agent portal?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0074,finance,Is it possible to liquidate shares as a non-resident without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0075,finance,Is it possible to start a chama as a foreigner without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0076,finance,What documents do I need to restructure an escrow account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0077,finance,Explain the charges for international transfers on a digital micro-lender.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0078,finance,How does yield curve inversion affect my dollar account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0079,finance,What is the impact of accelerated cost recovery legislation on corporate debt-to-equity ratio tax shields?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0080,finance,What fees apply when converting a dividend?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0081,finance,How do I save towards commercial paper using an agent till?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0082,finance,Is it possible to register for eCitizen payments with a passport without a bank account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0083,finance,What are the current interest rates for SACCO share capital loans?,False,,train,hand_written,washington,v3-moat-brick-3-6domain-psychology
brick3-0084,finance,How long does an EFT payment take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0085,finance,Explain the charges for merchant payments on an insurance app.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0086,finance,How does repo rate adjustment affect my money market account during holiday shopping peaks?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0087,finance,How does withholding tax affect my cooperative account during the financial year-end?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0088,finance,What fees apply when splitting insurance premiums?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0089,finance,What steps should I follow to invest in corporate Eurobonds safely?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0090,finance,Explain the charges for mobile banking on an online brokerage portal.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0091,finance,What fees apply when transferring loan repayments?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0092,finance,Explain the charges for custodial services on a digital micro-lender.,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0093,finance,How long does a clearing house settlement take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0094,finance,What fees apply when splitting a dollar amount?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0095,finance,How does excise duty adjustment affect my CDS investment account during economic downturns?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0096,finance,How do I withdraw cash from a unit trust fund using a forex bureau?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0097,finance,How does withholding tax affect my savings account during the financial year-end?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0098,finance,How does repo rate adjustment affect my savings account during harvest seasons?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
brick3-0099,finance,What documents do I need to consolidate an NSSF account?,False,,train,systematic_generation,washington,v3-moat-brick-3-6domain-psychology
