example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick1-0001,finance,"What fees apply when I transferring KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0002,finance,How do I pay for goods with an escrow account using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0003,finance,What fees apply when I withdrawing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0004,finance,How is forex spread charged when converting KES to USD at a bureau?,False,,train,hand_written,washington,v2-moat-brick-1
brick1-0005,finance,How do I track my daily budget using mobile money transaction history?,False,,train,hand_written,washington,v2-moat-brick-1
brick1-0006,finance,How long does a dividend payout take to reflect in my current account?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0007,finance,How do I save towards a mobile wallet using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0008,finance,"What fees apply when I depositing KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0009,finance,What fees apply when I withdrawing a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0010,finance,How do I withdraw cash from a bank card using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0011,finance,Explain the charges for standing orders on the stock exchange.,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0012,finance,How do I pay for goods with an escrow account using an agent till?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0013,finance,Is it possible to pay a utility bill as a minor without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0014,finance,How long does a bank-to-wallet payment take to reflect in my current account?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0015,finance,Explain the charges for merchant payments on M-Pesa.,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0016,finance,Should I take a fixed deposit or a money market fund for six months?,False,,train,hand_written,washington,v2-moat-brick-1
brick1-0017,finance,What fees apply when I overdrawing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0018,finance,How do I withdraw cash from a mobile wallet using an agent till?,False,,train,systematic_generation,washington,v2-moat-brick-1
brick1-0019,finance,Explain the charges for international transfers on an agency bank.,False,,train,systematic_generation,washington,v2-moat-brick-1
