example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version,completion
telecom-0001,telecom,What is the definition of occupied bandwidth in the context of 3GPP specifications?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 3GPP specifications, occupied bandwidth refers to the actual spectrum range occupied by a signal, taking into account the modulation scheme, subcarrier spacing, and any guard bands. It is defined in 3GPP TS 38.101, which specifies the frequency and time domain characteristics of NR signals. Occupied bandwidth can differ from the nominal bandwidth due to channel coding, pilot signals, and other overheads."
telecom-0002,telecom,What actions must a User Equipment (UE) take when a beam recovery procedure is triggered and it has a configuration for PUCCH transmission with a link recovery request (LRR)?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"When a beam recovery procedure is triggered and the UE has a PUCCH transmission configuration with a link recovery request (LRR), the UE must: 1) Stop ongoing PUCCH transmissions, 2) Initiate a beam recovery procedure by sending an LRR to the gNB, and 3) Wait for beam recovery confirmation before resuming PUCCH transmission. This process is defined in 3GPP TS 38.321, Section 5.2.2 (Beam recovery procedure) and Section 5.4.2 (PUCCH configuration)."
telecom-0003,telecom,How does the presence of autonomous gaps affect the CGI identification process for a RedCap UE?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 5G NR, autonomous gaps (defined in 3GPP TS 38.213, Section 6.2.1) are short, unscheduled time intervals used for synchronization and control purposes. For a Reduced Capability (RedCap) UE, the presence of these gaps can affect the CGI (Cell Global Identifier) identification process by introducing variability in the timing and availability of synchronization signals. This can potentially impact the accuracy and reliability of CGI identification, especially in environments with high signal fluctuation or where UE capabilities are limited. However, standard procedures and timing tolerances in 3GPP TS 38.331 are designed to account for such gaps, ensuring robust CGI identification under typical conditions."
telecom-0004,telecom,What is the scope of the conducted emissions test for AC mains powered equipment?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The scope of conducted emissions testing for AC mains-powered equipment is defined in 3GPP TS 38.321 (Radio transmission and reception equipment). This standard specifies the frequency range, emission levels, and measurement methods for assessing electromagnetic interference from AC mains-powered devices. Testing ensures compliance with regulatory limits for electromagnetic compatibility."
telecom-0005,telecom,How does the bandwidth combination set for the CA_n12A-n30A-n77A configuration affect uplink performance?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In 5G NR, the bandwidth combination set for CA (Carrier Aggregation) significantly affects uplink performance by determining the total available bandwidth for uplink transmission. When combining carriers like n12A, n30A, and n77A, the system can aggregate their uplink bandwidth, potentially increasing data rates and reducing latency. However, performance also depends on the individual carrier characteristics and the availability of uplink resources. Reference: 3GPP TS 38.321, Section 6.2.2 on Carrier Aggregation."
telecom-0006,telecom,What are the primary functions of the BAP sublayer in data transmission?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"The BAP (Baseband Access Point) sublayer in 3GPP 5G NR is primarily responsible for handling the physical layer functions related to data transmission. It manages the transmission and reception of data between the UE and the gNB, including modulation, coding, and channel estimation. The BAP sublayer ensures reliable data transfer by processing physical layer signals and interfacing with the MAC (Medium Access Control) sublayer. Relevant 3GPP TS 38.213 provides detailed specifications for the BAP sublayer operations."
telecom-0007,telecom,What is the priority order for transmitting RLC PDUs in an AM RLC entity?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In an AM RLC entity, the priority order for transmitting RLC PDUs is as follows: 1) Data (non-urgent), 2) Acknowledgments (ACKs), 3) Retransmissions (retransmissions of data or ACKs). This prioritization is defined in 3GPP TS 38.321, Section 6.3.2.1. It ensures that the most critical information is delivered promptly, with retransmissions handled after ACKs."
telecom-0008,telecom,What is the significance of the channel bandwidth and subcarrier spacing in building NR Test Configurations?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In building NR test configurations, channel bandwidth and subcarrier spacing are critical because they define the frequency domain resources available for data transmission. The channel bandwidth determines the amount of spectrum allocated to a user, directly impacting data rates and system capacity. Subcarrier spacing governs the frequency separation between adjacent subcarriers, influencing spectral efficiency and system flexibility, especially when configuring for different NR bands and scenarios. These parameters are specified in 3GPP TS 38.211 and 38.214."
telecom-0009,telecom,Why is it important to study in-band backhauling solutions for IAB nodes?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In-band backhauling is essential for IAB (Inter-Access Point) nodes because it enables efficient data transmission between nearby access points using a shared frequency band. This approach reduces infrastructure costs and simplifies deployment compared to dedicated backhaul solutions. The 3GPP TS 38.331 specification outlines the procedures for IAB backhaul, including in-band transmission and its impact on network performance and interference management."
telecom-0010,telecom,What is the role of the PDCP entity in addressing transport network delays in Scenario 3?,False,,train,3gpp_5g_nr_qa_featherless,washington+featherless,v4-telecom-domain,"In Scenario 3 of 3GPP TS 38.331, the PDCP (Packet Data Convergence Protocol) entity plays a crucial role in mitigating transport network delays by providing mechanisms such as reorder and duplicate detection, and by supporting timing adjustments to ensure reliable delivery of data packets. Specifically, the PDCP header compression and segmentation features help reduce overhead and optimize throughput across the transport network. These functions enable the PDCP to adapt to variable network conditions and improve end-to-end performance."
